CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,42,507","13,886","6,12,340",17.76,1.20,-0.30,"5,005",1.15,1.25,"2,600","25,500.00",130,"1,116.20","1,125.00",65,-162.30,"1,138.20",27.94,718,-136,"1,893",
,"13,616","1,183","51,851",18.04,1.00,-0.20,325,0.95,1.00,"1,495","25,550.00",780,"1,127.95","1,226.45",780,-304.25,"1,187.45",28.65,50,24,33,
,"57,161","8,090","1,68,679",18.11,0.75,-0.35,"1,45,080",0.70,0.75,"1,72,900","25,600.00",780,"1,176.45","1,276.55",780,-508.25,"1,235.80",29.04,63,-23,28,
,"13,483",944,"41,313",18.47,0.65,-0.30,"66,755",0.65,0.70,"1,01,985","25,650.00",780,"1,226.35","1,337.00",910,-12.65,"1,455.00",-,-,-,17,
,"34,258","7,973","1,29,419",18.94,0.60,-0.30,"36,530",0.60,0.65,"5,70,960","25,700.00",780,"1,279.30","1,394.65",780,-,"1,402.50",-,-,-,4,
,"4,861","-1,135","30,780",19.39,0.55,-0.35,"19,630",0.55,0.60,"45,500","25,750.00",780,"1,333.15","1,438.15",780,-,"1,689.75",-,-,-,1,
,"27,321","11,783","85,773",20.00,0.55,-0.25,"11,765",0.55,0.65,"3,705","25,800.00",780,"1,333.90","1,493.80",780,-,"1,500.00",-,-,-,17,
,"3,763",619,"15,721",20.61,0.55,-0.30,195,0.50,0.55,"11,830","25,850.00",780,"1,379.25","1,539.35",780,-,"1,788.50",-,-,-,1,
,"24,599","16,634","73,731",20.80,0.45,-0.30,"36,270",0.45,0.50,"48,035","25,900.00",780,"1,478.00","1,589.35","1,690",-,"2,030.00",-,-,-,6,
,"3,121","1,019","17,416",21.40,0.45,-0.35,"86,255",0.40,0.45,"46,345","25,950.00",780,"1,475.95","1,638.75",780,-,"1,887.20",-,-,-,1,
,"1,03,162","41,016","2,87,414",21.75,0.40,-0.35,"9,05,190",0.40,0.45,"11,96,000","26,000.00",65,"1,610.40","1,631.30",130,-167.20,"1,637.20",36.86,455,-307,"1,030",
,"5,016","2,872","11,237",22.33,0.40,-0.30,"1,08,355",0.35,0.40,"16,835","26,050.00",780,"1,624.05","1,752.40",780,-,-,-,-,-,-,
,"28,450","20,029","62,704",22.63,0.35,-0.30,"2,23,925",0.30,0.35,"62,790","26,100.00",65,"1,701.05","1,737.80",65,-163.80,"1,747.45",42.21,35,7,24,
,"15,024","12,512","37,978",22.88,0.30,-0.35,"21,385",0.30,0.35,"1,29,675","26,150.00",780,"1,659.75","1,841.90",780,-,-,-,-,-,-,
,"5,907","5,031","15,025",23.45,0.30,-0.30,"5,42,815",0.25,0.30,"1,16,155","26,200.00",780,"1,771.20","1,878.05",780,-,-,-,-,-,-,
,"2,095",453,"7,317",24.01,0.30,-0.30,"1,365",0.30,0.35,260,"26,250.00",780,"1,733.20","1,944.70",780,-,-,-,-,-,-,
,"10,889","8,367","25,411",24.57,0.30,-0.30,"1,16,480",0.25,0.30,"2,74,300","26,300.00",780,"1,785.45","2,002.55",780,-,-,-,-,-,-,
,749,227,"1,724",24.74,0.25,-0.40,"53,885",0.25,0.30,"10,140","26,350.00",780,"1,830.90","2,042.15",780,-,-,-,-,-,-,
,"7,577","5,180","15,935",25.28,0.25,-0.30,"1,040",0.25,0.30,"1,34,485","26,400.00",780,"1,882.05","2,106.50",780,-,-,-,-,-,-,
,"3,288","2,030","5,961",25.83,0.25,-0.30,"3,05,435",0.20,0.25,"34,515","26,450.00",780,"1,912.75","2,152.55",780,-,-,-,-,-,-,
,"89,895","80,712","1,70,970",25.89,0.20,-0.30,"18,92,345",0.20,0.25,"34,57,610","26,500.00",390,"2,110.00","2,200.55",780,-644.85,"2,100.00",-,1,1,1,
,"27,091","20,273","73,240",26.92,0.25,-0.25,"10,11,985",0.20,0.25,"11,72,925","26,550.00",780,"2,035.65","2,252.45",780,-,-,-,-,-,-,
